,GWAS P,GWAS Rank,Prop-Value,log10(Prop-Value),Prop Rank,Empirical P,Adjusted Association
ABHD14A,1.0,9927.5,0.0010919746141239124,-2.9617874578529433,2123.0,0.107319785664,0.107319785664
ABHD14A-ACY1,1.0,9927.5,2.4420009951188247e-06,-5.612254163415491,18775.0,0.949095136993,0.949095136993
ABHD14B,1.0,9927.5,0.0018573953328079478,-2.7310956500652015,895.0,0.0452431503387,0.0452431503387
ABHD15,1.0,9927.5,2.757851809518263e-05,-4.5594290739243366,15561.0,0.786624203822,0.786624203822
ABHD16A,1.0,9927.5,5.5478836788703209e-05,-4.2558726532502202,13709.0,0.693003740774,0.693003740774
ABHD16B,1.0,9927.5,3.7823304908218357e-05,-4.4222405262394204,14811.0,0.748710949348,0.748710949348
ABHD17A,1.0,9927.5,0.00037531685897096748,-3.4256019269441915,5668.0,0.28652310181,0.28652310181
ABHD17B,1.0,9927.5,6.3372442725008403e-05,-4.1980995524369202,13314.0,0.673036093418,0.673036093418
ABHD17C,1.0,9927.5,9.6858499869244945e-06,-5.0138622615289403,17348.0,0.876958851481,0.876958851481
ABHD18,1.0,9927.5,0.0001268632748674192,-3.8966640818515947,10610.0,0.536346173289,0.536346173289
ABHD2,1.0,9927.5,8.2635243843015127e-05,-4.0828346870375105,12409.0,0.62728743302,0.62728743302
ABHD3,1.0,9927.5,0.00015133912196685047,-3.8200487900331663,9857.0,0.498281265797,0.498281265797
ABHD4,1.0,9927.5,0.0011421125912944314,-2.9422910805318589,1983.0,0.100242644829,0.100242644829
ABHD5,1.0,9927.5,0.0013587886020201387,-2.8668481047962104,1513.0,0.0764836720251,0.0764836720251
ABHD6,1.0,9927.5,3.4985207467353828e-05,-4.4561155463149449,14990.0,0.757759579416,0.757759579416
ABHD8,1.0,9927.5,5.3875031628991115e-05,-4.2686124618652297,13800.0,0.697603882317,0.697603882317
ABI1,1.0,9927.5,0.0035202176457895967,-2.453430484407285,154.0,0.00778485491861,0.00778485491861
ABI2,1.0,9927.5,0.00040022558415176844,-3.3976951528292521,5415.0,0.273733697301,0.273733697301
ABI3,1.0,9927.5,8.4239075249580253e-05,-4.0744864093464166,12339.0,0.623748862602,0.623748862602
ABI3BP,1.0,9927.5,6.3980521212351552e-05,-4.193952226291203,13288.0,0.671721767263,0.671721767263
ABL1,1.0,9927.5,0.0026869908913376571,-2.5707338057843598,423.0,0.0213830755232,0.0213830755232
ABL2,1.0,9927.5,0.0019863858239534296,-2.7019363928296345,799.0,0.040390253766,0.040390253766
ABLIM1,1.0,9927.5,0.00244193710455654,-2.6122655260978513,521.0,0.0263370741078,0.0263370741078
ABLIM2,1.0,9927.5,3.3913472353834891e-05,-4.4696277411300587,15071.0,0.761854210899,0.761854210899
ABLIM3,1.0,9927.5,8.9646140169075865e-05,-4.0474684048118776,12081.0,0.610706703063,0.610706703063
ABO,1.0,9927.5,4.9503826364378061e-06,-5.3053612312742935,18254.0,0.922758062885,0.922758062885
ABR,1.0,9927.5,0.00027808904396315687,-3.5558161209527155,7047.0,0.356232939035,0.356232939035
ABRA,1.0,9927.5,1.1376630880197813e-05,-4.9439863325608941,17111.0,0.864978263067,0.864978263067
ABRACL,1.0,9927.5,4.6058753148211465e-05,-4.3366878229540911,14252.0,0.720452937013,0.720452937013
ABRAXAS1,1.0,9927.5,5.3312507476231048e-05,-4.2731708905855053,13821.0,0.698665453443,0.698665453443
ABRAXAS2,1.0,9927.5,0.00069975248172443833,-3.1550555526012527,3380.0,0.170862400162,0.170862400162
ABT1,1.0,9927.5,0.00017186633621377046,-3.7648091810693716,9280.0,0.469113335355,0.469113335355
ABTB1,1.0,9927.5,0.00011093283594502742,-3.9549398843378833,11244.0,0.568395511071,0.568395511071
ABTB2,1.0,9927.5,3.2615615235886297e-05,-4.4865744248670678,15164.0,0.766555454454,0.766555454454
AC002310.5,1.0,9927.5,3.1914209795222583e-05,-4.4960159043541195,15216.0,0.769184106764,0.769184106764
AC002996.1,1.0,9927.5,7.623753266274466e-06,-5.1178311675677168,17661.0,0.892781316348,0.892781316348
AC003002.1,1.0,9927.5,2.5451806047674565e-06,-5.5942813949103387,18748.0,0.947730259832,0.947730259832
AC003688.1,1.0,9927.5,1.0100752507463859e-05,-4.9956462700128865,17282.0,0.873622485087,0.873622485087
AC004080.3,1.0,9927.5,3.5304642554289942e-06,-5.4521681812088651,18529.0,0.936659589526,0.936659589526
