,GWAS P,GWAS Rank,Prop-Value,log10(Prop-Value),Prop Rank,Empirical P,Adjusted Association
HIST1H1D,1.0,9932.0,0.00017993200976731526,-3.7448915691242046,9660.0,0.488322717622,0.488322717622
HIST1H1E,1.0,9932.0,0.00024397427868087592,-3.6126559573325059,8349.0,0.422050348802,0.422050348802
HIST1H1T,1.0,9932.0,0.00057599788057349397,-3.2395791145922912,4765.0,0.240875543423,0.240875543423
HIST1H2AA,1.0,9932.0,0.00038580677689882434,-3.4136301480142843,6407.0,0.323880295218,0.323880295218
HIST1H2AB,1.0,9932.0,0.00030623495255881428,-3.5139452419946813,7356.0,0.371853199879,0.371853199879
HIST1H2AC,1.0,9932.0,0.001172522822146662,-2.9308786953626442,2127.0,0.107521989688,0.107521989688
HIST1H2AD,1.0,9932.0,0.0010344371631438127,-2.9852958854030236,2552.0,0.129006167223,0.129006167223
HIST1H2AE,1.0,9932.0,0.0004602054452295829,-3.337048246990344,5686.0,0.287433019917,0.287433019917
HIST1H2AG,1.0,9932.0,0.0001964159529958412,-3.7068232415149742,9295.0,0.469871600445,0.469871600445
HIST1H2AH,1.0,9932.0,0.00025358596839858665,-3.5958747808205,8200.0,0.414518248913,0.414518248913
HIST1H2AI,1.0,9932.0,0.00029604267018539719,-3.5286456872840355,7504.0,0.379334748762,0.379334748762
HIST1H2AJ,1.0,9932.0,0.0009649210903313214,-3.0155082010965302,2791.0,0.141087857648,0.141087857648
HIST1H2AK,1.0,9932.0,7.8888860008262949e-05,-4.1029843197122062,12888.0,0.651501364877,0.651501364877
HIST1H2AL,1.0,9932.0,9.4755125133620991e-05,-4.0233972905202666,12255.0,0.619502578101,0.619502578101
HIST1H2AM,1.0,9932.0,0.00015353260910827188,-3.8137993696869104,10330.0,0.522191891619,0.522191891619
HIST1H2BA,1.0,9932.0,0.0011513878306025475,-2.9387783650581398,2181.0,0.11025174401,0.11025174401
HIST1H2BB,1.0,9932.0,0.00036095982802996767,-3.4425411289411647,6682.0,0.337781821858,0.337781821858
HIST1H2BC,1.0,9932.0,0.00067403921119171275,-3.171314838318009,4130.0,0.208775654636,0.208775654636
HIST1H2BD,1.0,9932.0,0.0010745950787203853,-2.9687551526836424,2401.0,0.121372965322,0.121372965322
HIST1H2BE,1.0,9932.0,0.00011096245939773986,-3.9548239260242606,11664.0,0.589626933576,0.589626933576
HIST1H2BF,1.0,9932.0,0.00021919576002199382,-3.6591678508120333,8805.0,0.445101607522,0.445101607522
HIST1H2BG,1.0,9932.0,0.000185152098898364,-3.7324713603911475,9528.0,0.481649984835,0.481649984835
HIST1H2BH,1.0,9932.0,0.0002267612542259173,-3.6444311495736037,8661.0,0.437822262663,0.437822262663
HIST1H2BI,1.0,9932.0,0.00020726709028901565,-3.6834696493798393,9072.0,0.458598726115,0.458598726115
