,GWAS P,GWAS Rank,Prop-Value,log10(Prop-Value),Prop Rank,Empirical P,Adjusted Association
C9orf43,1.0,9916.0,2.1403101831898713e-05,-4.6695232822181811,14732.0,0.744717419877,0.744717419877
C9orf50,1.0,9916.0,8.0036514459886832e-06,-5.0967118328768874,16834.0,0.850975634415,0.850975634415
C9orf57,1.0,9916.0,2.183315218772458e-05,-4.6608835579735892,14683.0,0.742240420584,0.742240420584
C9orf64,1.0,9916.0,5.7010779594467122e-06,-5.2440430201910919,17281.0,0.873571934081,0.873571934081
C9orf66,1.0,9916.0,1.8356828651164896e-05,-4.7362023459160625,15158.0,0.766252148418,0.766252148418
C9orf72,1.0,9916.0,4.4616295341229081e-05,-4.3505064936590108,12404.0,0.62703467799,0.62703467799
C9orf78,1.0,9916.0,3.3124378091462981e-05,-4.4798522668357048,13424.0,0.678596704074,0.678596704074
C9orf84,1.0,9916.0,8.7670954370489796e-07,-6.0571442657670787,19041.0,0.96254170458,0.96254170458
C9orf85,1.0,9916.0,2.780333995957791e-07,-6.5559030300212555,19559.0,0.98872712567,0.98872712567
C9orf89,1.0,9916.0,6.5227249420630814e-05,-4.1855709349318824,10838.0,0.547871802649,0.547871802649
C9orf9,1.0,9916.0,5.3629982412242071e-06,-5.2705923454622061,17359.0,0.877514912547,0.877514912547
C9orf91,1.0,9916.0,9.0783830401702499e-07,-6.0419914972130391,19024.0,0.961682337479,0.961682337479
CA1,1.0,9916.0,0.00023318157541980301,-3.6323057678479507,4626.0,0.233848953594,0.233848953594
CA10,1.0,9916.0,3.2154001807307929e-05,-4.4927649681619766,13523.0,0.683601253665,0.683601253665
CA11,1.0,9916.0,4.790891110751287e-05,-4.3195836998446859,12105.0,0.611919927207,0.611919927207
CA12,1.0,9916.0,0.0002462603899388137,-3.6086054371840399,4391.0,0.221969467192,0.221969467192
CA13,1.0,9916.0,4.5160267305144766e-06,-5.3452434961357813,17579.0,0.888636133859,0.888636133859
CA14,1.0,9916.0,2.2936834695810566e-05,-4.6394665153358758,14547.0,0.735365483773,0.735365483773
CA2,1.0,9916.0,0.00031331538941443694,-3.5040182729330853,3489.0,0.176372459812,0.176372459812
CA3,1.0,9916.0,4.1029033927469147e-05,-4.3869087088412453,12718.0,0.642907693863,0.642907693863
CA4,1.0,9916.0,0.00013185239433308296,-3.8799119793616024,7412.0,0.374684056213,0.374684056213
CA5A,1.0,9916.0,0.00011244015538197371,-3.9490785629090728,8242.0,0.416641391164,0.416641391164
CA5B,1.0,9916.0,2.4710747706090492e-05,-4.6071141133710354,14364.0,0.726114649682,0.726114649682
CA6,1.0,9916.0,6.7625013932049555e-05,-4.169892632412374,10681.0,0.539935294712,0.539935294712
CA7,1.0,9916.0,9.9789492355604274e-05,-4.0009151866908832,8861.0,0.447932463856,0.447932463856
CA8,1.0,9916.0,6.0567051084495322e-05,-4.2177635709447276,11160.0,0.56414922657,0.56414922657
CA9,1.0,9916.0,0.00017492811713016207,-3.7571403784398774,5993.0,0.302952178748,0.302952178748
CAAP1,1.0,9916.0,0.0001851663081764136,-3.7324380322555002,5720.0,0.28915175412,0.28915175412
CAB39,1.0,9916.0,0.00029615996426950701,-3.5284736509870278,3680.0,0.186027701951,0.186027701951
CAB39L,1.0,9916.0,2.2763425425169673e-05,-4.6427623850136115,14566.0,0.736325952886,0.736325952886
CABC1,1.0,9916.0,2.2501714627493912e-07,-6.6477843874492075,19643.0,0.992973410171,0.992973410171
CABIN1,1.0,9916.0,0.00019435195191393355,-3.711411093308024,5473.0,0.276665655647,0.276665655647
CABLES1,1.0,9916.0,0.00011044093791082001,-3.9568699138060084,8345.0,0.421848144778,0.421848144778
