,GWAS P,GWAS Rank,Prop-Value,log10(Prop-Value),Prop Rank,Empirical P,Adjusted Association
ABCB8,1.0,9918.5,9.575919649429958e-05,-4.0188195067072838,10239.0,0.517591750076,0.517591750076
ABCB9,1.0,9918.5,8.6034242439428433e-05,-4.0653286610513311,10657.0,0.538722070569,0.538722070569
ABCC1,1.0,9918.5,0.00033995597809520999,-3.4685773173934313,5046.0,0.255080376099,0.255080376099
ABCC10,1.0,9918.5,7.3638718576290527e-05,-4.1328937774750312,11256.0,0.569002123142,0.569002123142
ABCC11,1.0,9918.5,2.6476833710775257e-05,-4.5771339521687953,14659.0,0.741027196441,0.741027196441
ABCC12,1.0,9918.5,2.5642578621040014e-05,-4.5910383042476424,14745.0,0.745374582954,0.745374582954
ABCC2,1.0,9918.5,0.00034363397431438165,-3.4639039050042157,5020.0,0.253766049944,0.253766049944
ABCC3,1.0,9918.5,0.00035837297518502266,-3.4456647478116418,4871.0,0.246233950056,0.246233950056
ABCC4,1.0,9918.5,0.00012567719527918416,-3.9007435199506206,9140.0,0.46203619452,0.46203619452
ABCC5,1.0,9918.5,0.00015319222954535006,-3.8147632631052582,8267.0,0.417905166313,0.417905166313
ABCC6,1.0,9918.5,0.00043343961200987749,-3.3630714010660858,4150.0,0.209786674755,0.209786674755
ABCC8,1.0,9918.5,0.00069195728140268803,-3.1599207162712069,2536.0,0.128197351127,0.128197351127
ABCC9,1.0,9918.5,0.0001386634638009554,-3.858037955364332,8686.0,0.439086037812,0.439086037812
ABCD1,1.0,9918.5,0.00010786409931371166,-3.9671230786195761,9784.0,0.494591042362,0.494591042362
ABCD2,1.0,9918.5,8.6275588762702501e-05,-4.0641120683097833,10646.0,0.538166009504,0.538166009504
ABCD3,1.0,9918.5,0.0007048933877774079,-3.1518765632940253,2478.0,0.125265392781,0.125265392781
ABCD4,1.0,9918.5,4.2801845513360307e-05,-4.368537504842223,13192.0,0.666868870691,0.666868870691
ABCE1,1.0,9918.5,0.0017510176010894858,-2.7567094884010652,554.0,0.0280052573046,0.0280052573046
ABCF1,1.0,9918.5,0.00050205771641668171,-3.2992463536110779,3624.0,0.183196845617,0.183196845617
ABCF2,1.0,9918.5,0.00053801498969494662,-3.2692056242386056,3389.0,0.171317359215,0.171317359215
ABCF3,1.0,9918.5,0.00032504518178145419,-3.4880562672225195,5192.0,0.26246082297,0.26246082297
ABCG1,1.0,9918.5,0.00017097915056395435,-3.7670568448539288,7751.0,0.391820847235,0.391820847235
ABCG2,1.0,9918.5,0.00065552565891084061,-3.183410304270931,2730.0,0.138004246285,0.138004246285
ABCG4,1.0,9918.5,0.00010741266683311464,-3.9689445006537216,9801.0,0.495450409463,0.495450409463
ABCG5,1.0,9918.5,9.2434374287793633e-05,-4.0341664942846158,10371.0,0.524264482863,0.524264482863
ABCG8,1.0,9918.5,6.5208545021250871e-05,-4.1856954899672303,11720.0,0.59245778991,0.59245778991
ABHD1,1.0,9918.5,2.3358607779127464e-05,-4.6315530456290253,14981.0,0.757304620362,0.757304620362
ABHD10,1.0,9918.5,0.00016433559228860352,-3.7842683655941611,7922.0,0.400465069255,0.400465069255
ABHD11,1.0,9918.5,2.7441088579622773e-05,-4.5615986642937862,14555.0,0.735769891821,0.735769891821
ABHD12,1.0,9918.5,3.7786424830213279e-05,-4.4226641969943721,13607.0,0.687847538166,0.687847538166
ABHD12B,1.0,9918.5,1.1408841239257738e-05,-4.9427584632900921,16581.0,0.838186229906,0.838186229906
ABHD13,1.0,9918.5,5.4605724748443032e-05,-4.2627618243954615,12367.0,0.625164290769,0.625164290769
ABHD14A,1.0,9918.5,0.00029684560011995087,-3.527469383853596,5542.0,0.280153675058,0.280153675058
ABHD14A-ACY1,1.0,9918.5,1.4880948938246702e-06,-5.8273693735277874,18889.0,0.954857951673,0.954857951673
ABHD14B,1.0,9918.5,6.7065233549395883e-05,-4.1735025586773116,11601.0,0.5864422202,0.5864422202
ABHD15,1.0,9918.5,1.2165106788810867e-05,-4.9148840743543936,16438.0,0.830957436053,0.830957436053
ABHD16A,1.0,9918.5,4.1443811054634412e-05,-4.3825403149448805,13294.0,0.672025073299,0.672025073299
ABHD16B,1.0,9918.5,1.5077982738071994e-05,-4.8216567582226375,16041.0,0.810888686685,0.810888686685
ABHD17A,1.0,9918.5,0.0032045908913512517,-2.4942274060732039,187.0,0.00945303811546,0.00945303811546
ABHD17B,1.0,9918.5,5.8803763655357455e-05,-4.2305948766033801,12095.0,0.611414417147,0.611414417147
ABHD17C,1.0,9918.5,8.8294688959675889e-06,-5.0540654190144547,16997.0,0.859215448387,0.859215448387
ABHD18,1.0,9918.5,6.9722100202552494e-05,-4.1566295393382662,11451.0,0.578859569305,0.578859569305
ABHD2,1.0,9918.5,7.3392856377064793e-05,-4.1343462096616266,11273.0,0.569861490244,0.569861490244
ABHD3,1.0,9918.5,0.00049162954890935573,-3.3083620221594314,3698.0,0.186937620059,0.186937620059
ABHD4,1.0,9918.5,6.8805576865750009e-05,-4.1623763596734396,11497.0,0.58118491558,0.58118491558
ABHD5,1.0,9918.5,6.1642048941270596e-05,-4.210122934050009,11923.0,0.602719644121,0.602719644121
ABHD6,1.0,9918.5,1.8494418491464636e-05,-4.7329593193860768,15576.0,0.787382468911,0.787382468911
ABHD8,1.0,9918.5,2.2638343677259729e-05,-4.645155351253222,15066.0,0.761601455869,0.761601455869
ABI1,1.0,9918.5,0.0029452411613140987,-2.5308791386561991,235.0,0.0118794864018,0.0118794864018
ABI2,1.0,9918.5,0.0021107036890042397,-2.675572730814924,400.0,0.020220402386,0.020220402386
ABI3,1.0,9918.5,0.00090787327676680458,-3.0419747671636097,1740.0,0.0879587503791,0.0879587503791
ABI3BP,1.0,9918.5,4.4549455041224383e-05,-4.3511576041756292,13047.0,0.659538974826,0.659538974826
ABL1,1.0,9918.5,0.003430895330068795,-2.4645925312201156,134.0,0.00677383479931,0.00677383479931
ABL2,1.0,9918.5,0.0018934929814378009,-2.7227363003284641,488.0,0.0246688909109,0.0246688909109
ABLIM1,1.0,9918.5,0.00023211709728757424,-3.6342928690909271,6461.0,0.32661004954,0.32661004954
ABLIM2,1.0,9918.5,0.00083075840420888621,-3.0805252565697665,1983.0,0.100242644829,0.100242644829
ABLIM3,1.0,9918.5,0.00086524959724806959,-3.0628585941869484,1872.0,0.0946314831665,0.0946314831665
ABO,1.0,9918.5,6.255431184194532e-06,-5.2037427492060031,17434.0,0.881306237994,0.881306237994
ABR,1.0,9918.5,0.00022165584377350201,-3.6543208143978969,6646.0,0.335961985644,0.335961985644
ABRA,1.0,9918.5,3.8349656024600299e-05,-4.4162385270810489,13553.0,0.685117783844,0.685117783844
ABRACL,1.0,9918.5,2.5987165215197616e-05,-4.5852410925091069,14708.0,0.743504195733,0.743504195733
ABRAXAS1,1.0,9918.5,0.00013200973358631955,-3.8793940454079499,8920.0,0.450914973208,0.450914973208
ABRAXAS2,1.0,9918.5,0.00040574647974821307,-3.3917452394193104,4392.0,0.222020018198,0.222020018198
ABT1,1.0,9918.5,9.1301904582001019e-05,-4.0395201628728641,10418.0,0.526640380144,0.526640380144
ABTB1,1.0,9918.5,5.2773155475749555e-05,-4.2775869371904234,12495.0,0.631634819533,0.631634819533
ABTB2,1.0,9918.5,2.0891285321018219e-05,-4.6800348395479983,15265.0,0.771661106056,0.771661106056
AC002310.5,1.0,9918.5,5.0564962395225042e-05,-4.2961503114047037,12611.0,0.637498736225,0.637498736225
AC002996.1,1.0,9918.5,2.3583346116225254e-06,-5.627394575122433,18605.0,0.940501465979,0.940501465979
AC003002.1,1.0,9918.5,2.0395518177517413e-06,-5.6904652563298388,18720.0,0.946314831665,0.946314831665
AC003688.1,1.0,9918.5,5.8180359732405819e-06,-5.235223597813679,17522.0,0.885754726519,0.885754726519
AC004080.3,1.0,9918.5,1.9064506330328516e-06,-5.7197744361700149,18756.0,0.94813466788,0.94813466788
AC004223.3,1.0,9918.5,2.1196736710299436e-06,-5.673730994627717,18695.0,0.945051056516,0.945051056516
AC004691.2,1.0,9918.5,3.4763368029002495e-05,-4.4588781538128082,13863.0,0.700788595693,0.700788595693
AC004754.1,1.0,9918.5,3.2374055128783297e-07,-6.4898028980718889,19646.0,0.993125063189,0.993125063189
AC004832.3,1.0,9918.5,1.2180914415129875e-06,-5.9143201082106396,19008.0,0.960873521383,0.960873521383
AC004997.1,1.0,9918.5,1.4708633720264497e-06,-5.8324276668583215,18896.0,0.955211808715,0.955211808715
AC005324.3,1.0,9918.5,1.2135613603713555e-06,-5.9159382598784225,19012.0,0.961075725407,0.961075725407
AC005324.4,1.0,9918.5,2.1355549876500776e-05,-4.6704892415981734,15208.0,0.768779698716,0.768779698716
AC005520.1,1.0,9918.5,9.9494599495353329e-06,-5.0022004918474412,16813.0,0.84991406329,0.84991406329
AC005670.2,1.0,9918.5,1.1111063775248197e-05,-4.9542443596366317,16632.0,0.84076433121,0.84076433121
AC005833.1,1.0,9918.5,4.9125629364522027e-05,-4.3086918726920764,12724.0,0.643210999899,0.643210999899
AC005837.2,1.0,9918.5,1.3472389104132658e-06,-5.8705553825444419,18941.0,0.957486603983,0.957486603983
AC006486.1,1.0,9918.5,0.00037315437477873322,-3.4281114624420153,4706.0,0.237893034071,0.237893034071
AC006538.2,1.0,9918.5,7.7982014557718901e-06,-5.1080055496045649,17167.0,0.867809119401,0.867809119401
AC007192.1,1.0,9918.5,0.00075632130946335079,-3.1212936631210546,2270.0,0.114750783541,0.114750783541
AC008575.1,1.0,9918.5,1.1232031582171927e-06,-5.9495416840654354,19051.0,0.96304721464,0.96304721464
AC008764.1,1.0,9918.5,2.5529422302833442e-06,-5.592959012596074,18558.0,0.938125568699,0.938125568699
AC008770.3,1.0,9918.5,3.1504734213082084e-06,-5.5016241799205803,18405.0,0.930391264786,0.930391264786
AC008982.1,1.0,9918.5,1.3687261910145945e-05,-4.8636834223004923,16219.0,0.819886765747,0.819886765747
AC010132.3,1.0,9918.5,5.2890795700644944e-05,-4.276619899311136,12486.0,0.631179860479,0.631179860479
AC010422.3,1.0,9918.5,2.3597288371508235e-06,-5.6271379001210615,18603.0,0.940400363967,0.940400363967
AC010422.6,1.0,9918.5,3.3778649428442318e-07,-6.4713577188118041,19627.0,0.992164594075,0.992164594075
AC010542.3,1.0,9918.5,3.5815774957109625e-06,-5.4459256474383411,18279.0,0.924021838035,0.924021838035
